ordinalencoder__V2,ordinalencoder__V3,ordinalencoder__V4,ordinalencoder__V5,ordinalencoder__V7,ordinalencoder__V8,ordinalencoder__V11,remainder__V1,remainder__V6,remainder__V12,remainder__V13,remainder__V14,remainder__V15,target
4,2,2,0,1,0,8,37,1379,319,3,-1,0,1
1,2,1,0,1,0,8,36,1168,242,3,-1,0,1
5,1,1,0,0,0,8,41,287,236,2,-1,0,1
1,1,1,0,1,0,8,32,2549,246,3,-1,0,1
0,1,1,0,1,0,8,34,79,83,1,-1,0,1
4,2,2,0,1,0,8,31,0,391,1,-1,0,1
1,1,0,0,1,0,8,32,827,230,2,-1,0,1
4,1,2,0,1,0,8,39,12,130,1,-1,0,1
1,1,0,0,1,1,8,36,973,293,1,-1,0,1
3,2,1,0,1,0,8,34,1408,245,1,-1,0,1
1,1,1,0,1,0,8,34,2495,924,1,-1,0,2
4,1,1,0,1,0,8,35,339,317,1,-1,0,1
9,1,1,0,1,0,8,32,0,134,2,-1,0,1
1,1,1,0,1,0,8,36,520,110,2,-1,0,1
7,0,1,0,1,1,8,40,5745,37,1,-1,0,1
1,1,1,0,1,0,8,36,222,188,1,-1,0,1
6,1,2,0,1,0,8,33,-355,911,2,-1,0,1
4,0,2,0,1,0,8,31,1804,206,1,-1,0,1
1,1,1,0,1,0,8,30,253,160,2,-1,0,1
1,1,1,0,1,0,8,33,524,156,2,-1,0,1
0,2,1,0,0,0,8,29,132,314,3,-1,0,1
4,0,2,1,1,1,8,36,-1,268,1,-1,0,1
9,1,1,0,1,0,8,47,-401,78,1,-1,0,1
1,1,0,0,1,0,8,32,410,115,2,-1,0,1
9,1,1,0,1,0,8,32,3155,99,3,-1,0,1
9,1,2,0,0,0,8,50,247,173,1,-1,0,1
4,2,2,0,0,0,8,41,16,95,1,-1,0,1
3,1,1,0,1,0,8,29,823,14,2,-1,0,1
0,2,2,0,1,0,8,24,1141,230,1,-1,0,1
1,1,0,0,1,0,8,56,246,438,1,-1,0,1
1,1,3,0,1,0,8,55,-102,35,1,-1,0,1
4,2,2,0,0,0,8,32,151,111,2,-1,0,1
9,2,2,0,1,0,8,32,1212,463,2,-1,0,1
5,1,1,0,1,0,8,56,397,252,1,-1,0,1
6,1,0,0,0,0,8,32,-6,881,2,-1,0,1
1,2,1,0,1,0,8,28,56,66,1,-1,0,1
1,2,1,0,1,0,8,34,1156,234,2,-1,0,1
1,1,0,0,1,1,8,36,-327,691,1,-1,0,1
8,2,2,0,1,0,8,26,1570,81,1,-1,0,1
4,0,1,0,1,1,8,51,-175,270,1,-1,0,1
9,0,1,0,1,0,8,43,353,153,1,-1,0,1
0,2,1,0,1,0,8,42,61,65,1,-1,0,1
4,2,2,0,1,0,8,31,-1206,390,1,-1,0,1
1,2,1,0,1,0,8,29,208,249,1,-1,0,1
1,2,1,0,1,0,8,28,38,31,1,-1,0,1
0,0,1,0,1,1,8,52,-209,161,1,-1,0,1
9,0,3,0,1,0,8,44,759,397,1,-1,0,1
1,1,1,0,1,0,8,38,-40,227,1,-1,0,1
1,1,0,0,1,0,8,28,4,7,1,-1,0,1
7,1,1,0,1,1,8,24,45,465,1,-1,0,1
7,1,1,0,1,1,8,29,-753,98,1,-1,0,1
9,2,1,0,1,0,8,24,820,665,1,-1,0,1
9,0,2,0,1,1,8,32,0,80,1,-1,0,1
1,2,1,0,1,0,8,27,672,164,1,-1,0,1
9,1,2,0,1,1,8,41,-762,145,1,-1,0,1
4,2,2,0,1,0,8,42,422,25,2,-1,0,1
1,1,1,0,1,0,8,25,51,76,2,-1,0,1
0,1,1,0,1,0,8,36,1601,163,3,-1,0,1
1,0,1,0,1,0,8,36,2278,152,2,-1,0,1
7,1,1,1,1,0,8,24,110,27,1,-1,0,1
9,2,2,0,1,1,8,32,539,281,2,-1,0,1
0,2,1,0,1,0,8,37,-332,284,2,-1,0,1
0,2,3,1,0,0,8,46,0,378,2,-1,0,1
0,2,1,0,1,1,8,29,468,353,1,-1,0,1
10,1,0,0,1,0,8,43,240,83,2,-1,0,1
7,1,1,0,0,1,8,30,2,50,3,-1,0,1
7,0,1,1,1,0,8,33,339,496,4,-1,0,1
4,2,1,0,1,0,8,46,295,141,6,-1,0,1
9,1,1,0,0,0,8,54,7252,139,2,-1,0,1
9,1,1,0,1,0,8,36,1109,122,5,-1,0,1
4,0,2,0,1,0,8,40,-319,59,3,-1,0,1
9,1,1,0,1,0,8,34,5553,258,5,-1,0,1
7,2,1,0,1,0,8,30,187,110,1,-1,0,1
1,1,1,0,1,0,8,30,2080,466,2,-1,0,1
4,1,2,0,1,0,8,45,-319,254,1,-1,0,1
1,2,0,0,1,0,8,25,-221,250,1,-1,0,1
7,1,1,0,0,1,8,28,2114,79,1,-1,0,1
1,2,0,0,1,0,8,30,4009,260,4,-1,0,1
0,0,1,0,1,0,8,35,579,250,3,-1,0,1
9,1,1,0,0,0,8,48,3142,563,1,-1,0,1
1,1,3,0,1,0,8,35,-205,147,14,-1,0,1
1,2,1,0,0,0,8,30,79,125,3,-1,0,1
9,2,1,0,1,0,8,38,-591,71,1,-1,0,1
9,1,2,0,0,0,8,55,440,556,1,-1,0,1
1,0,3,1,1,1,8,32,-274,456,2,-1,0,1
7,1,1,0,1,1,8,45,0,268,1,-1,0,1
9,2,2,0,1,1,8,35,2043,159,2,-1,0,1
1,1,1,0,1,1,8,30,282,148,2,-1,0,1
4,2,2,0,1,1,8,31,-26,448,1,-1,0,1
4,1,2,0,0,0,8,46,-267,249,3,-1,0,1
4,2,2,0,1,0,8,29,368,160,1,-1,0,1
1,1,1,0,1,0,8,33,745,115,4,-1,0,1
4,1,3,0,1,0,8,49,383,290,3,-1,0,1
7,0,1,0,1,0,8,37,239,140,2,-1,0,1
7,1,1,0,1,0,8,47,382,57,4,-1,0,1
0,0,1,0,1,1,8,39,2679,811,1,-1,0,1
1,2,1,0,1,0,8,32,3,108,3,-1,0,1
9,1,3,0,1,0,8,55,4746,288,3,-1,0,1
9,2,1,0,0,0,8,41,30,1003,1,-1,0,1
10,1,1,0,1,0,8,39,-455,542,2,-1,0,1
9,1,1,0,1,0,8,30,0,541,2,-1,0,1
1,2,1,0,1,1,8,31,-78,198,2,-1,0,1
4,1,2,0,1,1,8,30,302,302,1,-1,0,1
0,1,3,0,1,0,8,44,-299,268,1,-1,0,1
10,2,2,0,1,0,8,31,1611,154,2,-1,0,1
4,1,2,0,1,0,8,34,498,216,2,-1,0,1
0,1,1,0,0,0,8,32,0,206,3,-1,0,1
10,1,2,0,1,1,8,26,454,28,18,-1,0,1
6,0,1,0,1,0,8,39,0,210,2,-1,0,1
0,0,1,0,0,0,8,35,30,186,1,-1,0,1
7,2,1,0,1,1,8,35,511,472,1,-1,0,1
0,2,1,0,1,0,8,32,127,189,2,-1,0,1
7,2,1,0,1,0,8,32,1940,215,2,-1,0,1
7,1,1,0,1,0,8,30,-108,216,1,-1,0,1
0,0,1,0,1,0,8,43,242,174,1,-1,0,1
1,2,1,0,1,0,8,29,1012,926,1,-1,0,1
0,1,1,0,1,1,8,27,-393,235,2,-1,0,1
7,2,1,0,1,0,8,27,430,116,2,-1,0,1
1,1,1,0,1,0,8,33,-825,228,2,-1,0,1
1,1,3,0,1,0,8,29,135,150,6,-1,0,1
1,2,1,0,1,0,8,28,369,411,3,-1,0,1
4,1,2,0,1,0,8,32,1522,302,3,-1,0,1
7,1,2,0,1,0,8,30,523,253,2,-1,0,1
7,1,1,0,1,0,8,39,104,138,6,-1,0,1
4,1,2,0,1,0,8,35,341,824,2,-1,0,1
1,1,0,0,1,0,8,49,3767,493,13,-1,0,1
4,1,2,0,1,0,8,32,1667,345,3,-1,0,1
1,1,1,0,1,0,8,35,430,147,50,-1,0,1
1,1,3,0,1,0,8,37,603,773,2,-1,0,1
1,1,0,0,0,0,8,45,0,574,5,-1,0,1
1,1,0,0,1,0,8,37,510,122,6,-1,0,1
0,1,1,0,1,0,8,40,0,193,2,-1,0,1
9,1,2,0,1,1,8,33,17455,343,4,-1,0,1
0,1,1,0,1,0,8,36,176,111,1,-1,0,1
1,1,1,0,1,0,8,42,139,166,1,-1,0,1
4,2,2,0,1,0,8,30,3625,469,2,-1,0,1
4,1,2,0,1,0,8,32,1651,189,2,-1,0,1
7,0,1,0,1,0,8,26,74,106,6,-1,0,1
1,0,0,0,1,0,8,45,-311,1030,1,-1,0,2
0,2,1,0,1,0,8,35,-413,178,1,-1,0,1
2,0,1,0,1,0,8,39,1202,364,2,-1,0,1
4,1,2,0,1,0,8,33,321,101,5,-1,0,1
9,1,1,0,1,0,8,32,221,224,4,-1,0,1
0,2,2,0,1,0,8,27,1996,187,1,-1,0,1
9,0,1,0,1,0,8,39,1222,451,4,-1,0,1
2,1,1,1,1,1,8,43,150,226,2,-1,0,1
0,2,2,0,1,0,8,31,701,301,2,-1,0,1
0,1,1,0,1,1,8,50,0,97,1,-1,0,1
0,1,1,0,1,0,8,53,-375,24,1,-1,0,1
7,2,1,0,1,0,8,31,6374,922,2,-1,0,1
7,1,1,0,1,0,8,36,387,232,1,-1,0,1
0,1,1,0,1,0,8,45,149,893,3,-1,0,2
1,1,0,0,1,0,8,38,630,201,3,-1,0,1
2,2,2,0,1,0,8,31,150,83,2,-1,0,1
1,2,1,0,1,1,8,31,1358,339,2,-1,0,1
0,1,1,0,1,0,8,36,614,13,5,-1,0,1
7,1,1,0,1,1,8,40,-212,54,1,-1,0,1
9,1,1,0,1,0,8,30,590,242,3,-1,0,1
4,1,2,0,1,0,8,35,8,55,4,-1,0,1
0,0,1,0,1,1,8,42,687,229,1,-1,0,1
1,1,1,0,1,1,8,45,61,208,1,-1,0,1
9,1,2,0,1,1,8,41,-210,210,1,-1,0,1
1,1,1,0,1,0,8,33,1541,423,2,-1,0,1
1,2,1,0,1,0,8,32,1342,109,2,-1,0,1
6,2,1,0,1,0,8,32,4,233,2,-1,0,1
4,2,2,0,1,0,8,30,501,209,3,-1,0,1
1,2,1,0,1,0,8,34,128,114,4,-1,0,1
1,1,1,0,1,0,8,33,1464,588,3,-1,0,2
4,2,2,0,1,0,8,30,6,274,2,-1,0,1
1,2,1,1,1,0,8,34,-369,353,2,-1,0,1
1,2,0,0,1,0,8,38,1375,83,3,-1,0,1
9,0,2,0,0,0,8,36,0,539,2,-1,0,1
9,1,3,0,1,0,8,34,4053,123,2,-1,0,1
1,2,1,0,1,0,8,24,-286,327,2,-1,0,1
6,2,2,0,1,0,8,30,253,167,4,-1,0,1
1,1,0,0,1,0,8,34,157,20,17,-1,0,1
7,1,0,0,1,0,8,39,1951,208,2,-1,0,1
1,2,0,0,1,0,8,36,4519,117,2,-1,0,1
1,1,1,0,1,0,8,33,1134,304,2,-1,0,1
9,2,2,0,1,0,8,31,426,82,7,-1,0,1
0,2,1,0,1,1,8,43,-495,131,1,-1,0,1
0,1,1,0,1,0,8,34,1049,25,14,-1,0,1
1,1,1,0,1,0,8,33,463,76,4,-1,0,1
1,0,1,0,1,0,8,33,3546,777,2,-1,0,2
6,1,1,0,1,1,8,53,1,178,1,-1,0,1
1,1,0,0,1,0,8,54,-239,29,1,-1,0,1
2,2,2,0,1,0,8,31,1340,199,2,-1,0,1
9,0,1,0,1,0,8,46,772,488,1,-1,0,1
1,1,1,0,0,0,8,54,-630,173,1,-1,0,1
9,1,1,0,1,1,8,37,507,157,1,-1,0,1
1,1,1,0,1,0,8,32,736,700,3,-1,0,1
1,1,1,0,1,1,8,40,395,281,1,-1,0,1
7,1,1,0,0,0,8,60,-46,132,2,-1,0,1
4,2,2,0,1,0,8,33,2599,328,3,-1,0,1
1,1,1,0,0,0,8,35,-461,339,1,-1,0,1
1,1,1,0,0,0,8,33,0,211,3,-1,0,1
9,1,1,0,1,0,8,39,3643,160,3,-1,0,1
5,1,0,0,1,0,8,58,0,138,6,-1,0,1
1,1,1,0,1,1,8,43,-141,128,1,-1,0,1
1,1,1,0,1,1,8,38,526,553,2,-1,0,1
1,1,0,0,1,0,8,49,23,247,1,-1,0,1
4,1,1,0,1,0,8,35,839,50,3,-1,0,1
1,1,0,0,1,0,8,53,-1455,169,2,-1,0,1
7,2,1,1,1,0,8,40,-306,253,1,-1,0,1
1,1,0,0,1,0,8,36,655,153,4,-1,0,1
0,2,2,0,1,0,8,42,3465,373,9,-1,0,1
4,2,2,0,1,0,8,36,876,241,2,-1,0,1
1,1,1,0,1,0,8,35,154,211,4,-1,0,1
4,1,1,0,1,1,8,33,67,316,4,-1,0,1
4,1,2,0,1,0,8,37,5205,493,2,-1,0,1
4,0,2,0,0,0,8,44,5773,597,6,-1,0,2
9,1,1,0,1,1,8,35,0,107,2,-1,0,1
7,1,1,0,1,1,8,36,1694,164,6,-1,0,1
6,1,0,0,1,0,8,31,1074,1438,2,-1,0,1
1,1,0,0,1,0,8,40,278,1015,3,-1,0,2
1,1,1,0,1,0,8,38,1102,159,3,-1,0,1
1,1,1,0,1,0,8,46,0,172,3,-1,0,1
4,2,2,0,1,0,8,29,0,331,2,-1,0,1
1,1,1,0,1,1,8,33,-346,29,3,-1,0,1
9,1,2,0,0,0,8,32,415,76,2,-1,0,1
4,0,2,0,0,1,8,48,851,937,3,-1,0,1
9,1,1,0,1,0,8,32,1247,154,3,-1,0,1
0,2,1,0,1,0,8,35,91,185,4,-1,0,1
0,1,2,0,0,0,8,32,882,569,3,-1,0,1
1,1,1,0,1,0,8,42,165,333,2,-1,0,1
4,1,2,0,1,0,8,32,1501,70,6,-1,0,1
9,2,2,0,0,0,8,35,1529,95,4,-1,0,1
1,1,1,0,1,0,8,39,293,160,3,-1,0,1
9,2,1,0,1,1,8,30,1572,209,3,-1,0,1
8,2,2,0,1,0,8,30,-679,372,3,-1,0,1
0,1,1,0,1,0,8,32,497,92,3,-1,0,1
1,2,1,0,1,0,8,28,-303,277,2,-1,0,1
1,1,0,0,1,0,8,30,9194,178,2,-1,0,1
1,2,0,0,1,0,8,44,97,95,14,-1,0,1
7,1,1,0,1,1,8,34,70,138,4,-1,0,1
0,1,1,0,0,0,8,38,1839,63,2,-1,0,1
0,2,1,0,1,0,8,27,1492,67,13,-1,0,1
4,2,2,0,1,0,8,31,357,77,3,-1,0,1
0,2,1,0,1,0,8,37,192,105,2,-1,0,1
0,0,1,0,1,1,8,45,875,292,2,-1,0,1
4,1,2,0,1,0,8,33,0,57,5,-1,0,1
0,1,1,0,0,0,8,39,-288,151,9,-1,0,1
0,2,1,0,0,0,8,32,1581,331,3,-1,0,1
1,1,1,0,1,0,8,31,2910,1392,2,-1,0,2
9,2,1,0,0,0,8,38,372,59,3,-1,0,1
6,1,2,0,1,0,8,32,9,98,2,-1,0,1
1,1,1,0,1,0,8,32,1780,100,4,-1,0,1
1,1,0,0,1,0,8,33,2665,358,2,-1,0,1
1,1,1,0,1,0,8,49,188,181,16,-1,0,1
0,1,1,0,1,0,8,32,506,188,6,-1,0,1
1,1,1,0,1,0,8,32,38,368,5,-1,0,1
7,1,1,0,1,0,8,31,-331,203,5,-1,0,1
6,1,1,0,1,0,8,39,31,146,4,-1,0,1
7,1,1,0,1,1,8,37,-21,61,2,-1,0,1
2,1,1,0,1,0,8,33,1847,129,6,-1,0,1
1,1,0,0,1,0,8,35,208,247,3,-1,0,1
1,1,0,0,1,0,8,37,5,266,2,-1,0,1
1,1,0,0,1,0,8,31,-848,559,3,-1,0,1
4,1,2,0,1,0,8,35,317,162,3,-1,0,1
4,1,2,0,1,0,8,38,5779,75,3,-1,0,1
1,1,1,0,1,0,8,31,489,204,4,-1,0,1
1,2,1,1,1,0,8,30,4,84,3,-1,0,1
1,1,1,0,1,0,8,31,631,248,4,-1,0,1
0,1,1,0,1,0,8,44,0,82,2,-1,0,1
0,1,1,0,0,1,8,51,3,259,2,-1,0,1
1,2,2,0,1,0,8,31,2197,146,3,-1,0,1
4,0,2,0,1,0,8,35,178,703,2,-1,0,1
1,1,0,0,1,0,8,34,358,100,4,-1,0,1
1,1,1,0,1,0,8,32,3144,348,2,-1,0,1
7,1,1,0,1,0,8,31,309,146,6,-1,0,1
1,1,3,0,1,1,8,34,391,34,2,-1,0,1
1,1,0,0,1,0,8,32,1903,297,3,-1,0,1
2,1,2,0,1,0,8,50,1605,22,2,-1,0,1
1,1,1,0,1,0,8,36,141,106,3,-1,0,1
5,1,1,0,1,0,8,58,-205,253,2,-1,0,1
1,1,1,0,1,0,8,30,2150,465,4,-1,0,1
1,1,0,0,1,0,8,36,111,163,3,-1,0,1
10,1,1,0,1,1,8,31,57,104,5,-1,0,1
9,2,2,0,1,0,8,37,876,213,4,-1,0,1
1,1,1,1,0,0,8,33,2,74,4,-1,0,1
1,1,3,0,1,0,8,31,-357,245,4,-1,0,1
1,1,1,0,1,0,8,37,13849,252,5,-1,0,1
2,1,2,0,0,0,8,37,0,118,3,-1,0,1
9,1,1,0,1,0,8,40,5517,146,13,-1,0,1
1,1,3,0,1,0,8,58,5505,317,4,-1,0,1
1,1,1,0,1,0,8,46,4707,93,8,-1,0,1
1,1,1,0,1,0,8,32,523,116,5,-1,0,1
9,2,1,1,1,0,8,26,-516,386,2,-1,0,1
6,1,1,0,1,1,8,49,1878,283,11,-1,0,1
0,2,2,0,1,0,8,30,253,146,4,-1,0,1
4,0,2,0,0,0,8,33,471,215,4,-1,0,1
1,1,0,0,1,0,8,44,-315,90,3,-1,0,1
4,1,1,0,1,0,8,34,240,260,3,-1,0,1
0,1,1,0,1,0,8,31,1098,427,2,-1,0,1
9,2,1,0,1,0,8,26,-211,164,3,-1,0,1
4,2,2,0,1,0,8,31,9874,1222,5,-1,0,1
7,2,1,0,1,0,8,29,1008,426,9,-1,0,1
0,1,1,0,1,0,8,36,165,456,4,-1,0,1
1,1,1,0,1,1,8,52,3622,40,7,-1,0,1
1,1,3,0,1,0,8,31,92,98,17,-1,0,1
0,1,1,0,1,0,8,53,7598,27,7,-1,0,1
1,1,1,0,1,0,8,35,0,100,4,-1,0,1
0,1,1,0,1,0,8,46,-143,1034,9,-1,0,1
4,1,2,0,1,1,8,39,540,1066,2,-1,0,1
1,1,1,0,1,1,8,31,1495,159,3,-1,0,1
0,1,1,0,1,0,8,38,0,353,2,-1,0,1
1,1,0,0,1,0,8,53,3316,331,6,-1,0,1
0,1,1,0,1,0,8,27,3,159,5,-1,0,1
8,1,2,0,1,0,8,34,387,52,3,-1,0,1
7,1,0,0,0,0,8,40,33,70,3,-1,0,1
1,1,1,0,1,0,8,37,152,159,3,-1,0,1
0,1,1,0,1,1,8,32,41,117,2,-1,0,1
5,0,1,0,1,0,8,60,1718,146,6,-1,0,1
9,1,3,0,1,0,8,49,-287,49,1,-1,0,1
4,2,2,0,1,0,8,30,2317,260,5,-1,0,1
4,0,1,0,1,0,8,41,71,60,3,-1,0,1
9,2,1,0,1,0,8,38,283,193,1,-1,0,1
7,1,1,0,1,0,8,44,-627,373,2,-1,0,1
1,0,0,0,1,0,8,56,-216,336,1,-1,0,1
0,0,0,0,1,0,8,49,-347,200,2,-1,0,1
9,1,2,0,1,1,8,50,199,79,1,-1,0,1
7,2,1,0,1,1,8,31,31,501,2,-1,0,1
0,0,1,0,1,0,8,52,0,206,1,-1,0,1
5,1,1,0,1,0,8,58,674,80,1,-1,0,1
9,1,1,0,1,1,8,37,-796,299,1,-1,0,1
1,1,1,0,1,1,8,43,470,185,1,-1,0,1
7,1,1,0,1,1,8,47,4063,207,1,-1,0,1
0,0,1,0,1,0,8,53,-372,104,1,-1,0,1
1,1,0,0,1,0,8,32,1156,185,5,-1,0,1
9,1,1,1,1,0,8,37,-886,224,1,-1,0,1
9,1,1,0,0,1,8,42,-245,63,1,-1,0,1
10,2,2,0,1,0,8,33,157,897,5,-1,0,1
7,2,1,0,1,0,8,37,510,322,1,-1,0,1
1,0,1,0,0,1,8,40,-426,245,1,-1,0,1
1,1,1,0,1,0,8,34,-436,317,1,-1,0,1
1,0,0,0,1,0,8,41,320,511,1,-1,0,1
5,1,1,0,0,1,8,59,0,155,1,-1,0,1
9,1,2,0,1,0,8,30,541,414,2,-1,0,2
9,1,1,0,0,0,8,32,1337,368,6,-1,0,1
9,0,1,0,1,0,8,42,-280,258,1,-1,0,1
7,1,1,0,1,0,8,36,247,247,1,-1,0,1
9,1,0,0,1,1,8,44,-1379,140,1,-1,0,1
1,1,0,0,1,1,8,49,383,31,1,-1,0,1
1,1,0,0,1,1,8,56,-85,118,1,-1,0,1
2,2,2,0,1,0,8,43,0,142,3,-1,0,1
7,1,1,0,1,1,8,50,683,129,3,-1,0,1
5,1,1,0,1,1,8,58,295,136,2,-1,0,1
7,1,1,0,1,1,8,43,978,82,2,-1,0,1
0,1,1,0,1,0,8,33,105,122,4,-1,0,1
1,1,0,0,1,0,8,34,503,120,2,-1,0,1
9,1,1,0,1,0,8,36,-8,180,2,-1,0,1
0,1,1,0,1,0,8,59,-396,204,1,-1,0,1
0,0,1,0,1,0,8,46,-454,120,1,-1,0,1
1,0,0,0,1,0,8,51,-380,181,1,-1,0,1
1,1,1,0,1,0,8,35,1098,19,17,-1,0,1
0,2,1,0,1,0,8,37,155,460,1,-1,0,1
1,1,1,0,1,1,8,44,-54,437,1,-1,0,1
0,0,1,0,1,0,8,48,238,76,2,-1,0,1
9,0,1,0,1,0,8,44,106,95,1,-1,0,1
1,1,1,0,1,0,8,30,0,30,1,-1,0,1
11,0,0,0,0,0,8,35,3888,422,5,-1,0,1
0,2,3,0,1,0,8,42,-138,109,1,-1,0,1
1,1,1,0,1,0,8,46,1728,50,2,-1,0,1
0,2,1,0,1,0,8,50,1651,41,2,-1,0,1
7,1,0,0,1,0,8,37,0,581,1,-1,0,1
9,1,1,0,0,0,8,56,463,131,2,-1,0,1
1,1,3,0,1,0,8,54,-361,227,1,-1,0,1
7,2,1,0,1,0,8,33,-27,165,1,-1,0,1
0,1,1,0,0,0,8,36,0,80,1,-1,0,1
1,1,3,0,1,0,8,39,0,470,1,-1,0,1
1,1,0,0,1,0,8,35,-239,281,1,-1,0,1
6,1,2,0,1,0,8,25,1182,141,2,-1,0,1
1,1,0,0,1,0,8,37,0,24,1,-1,0,1
9,0,1,0,1,0,8,44,1262,788,11,-1,0,2
9,2,1,0,1,0,8,37,435,210,1,-1,0,1
8,1,2,0,1,0,8,29,149,367,4,-1,0,1
7,1,1,0,1,0,8,32,241,266,1,-1,0,1
9,0,1,0,1,0,8,59,879,228,1,-1,0,1
9,1,0,0,1,0,8,46,-171,135,1,-1,0,1
1,1,1,0,1,1,8,34,241,85,1,-1,0,1
9,2,1,0,1,0,8,35,103,290,2,-1,0,1
4,1,1,0,1,0,8,53,1925,153,1,-1,0,1
0,0,1,0,1,1,8,48,-212,76,1,-1,0,1
1,0,0,0,1,0,8,35,-587,111,1,-1,0,1
1,1,0,0,1,0,8,39,259,168,1,-1,0,1
9,0,1,0,1,1,8,36,19,109,1,-1,0,1
0,1,1,0,1,0,8,32,86,1099,1,-1,0,1
0,1,1,0,1,1,8,30,214,219,1,-1,0,1
4,0,2,0,1,0,8,31,895,202,1,-1,0,1
4,2,2,0,1,0,8,48,145,14,38,-1,0,1
9,1,1,0,1,0,8,43,-1701,285,1,-1,0,1
10,0,1,0,1,0,8,42,193,262,1,-1,0,1
0,1,1,0,1,0,8,37,-255,96,2,-1,0,1
7,2,1,0,1,0,8,40,19343,168,4,-1,0,1
1,1,1,0,1,0,8,46,0,208,2,-1,0,1
7,1,1,0,0,0,8,43,0,483,1,-1,0,1
9,1,1,0,0,1,8,53,137,129,1,-1,0,1
0,1,1,0,1,1,8,30,-170,130,1,-1,0,1
7,1,1,0,1,0,8,40,-342,754,1,-1,0,1
10,1,1,0,1,0,8,38,-673,364,1,-1,0,1
1,1,1,0,1,1,8,40,193,258,1,-1,0,1
4,1,2,0,1,0,8,40,655,227,1,-1,0,1
7,1,1,0,1,1,8,38,25,266,3,-1,0,1
0,1,0,0,1,1,8,49,305,232,1,-1,0,1
0,0,2,0,1,0,8,36,125,172,1,-1,0,1
9,2,2,0,1,0,8,45,591,164,1,-1,0,1
1,1,0,0,0,0,8,46,537,222,5,-1,0,1
1,2,0,0,1,1,8,42,-68,167,1,-1,0,1
7,1,1,0,1,0,8,35,-197,103,1,-1,0,1
7,1,1,0,1,0,8,34,-538,682,1,-1,0,2
9,2,3,0,1,0,8,47,-213,168,1,-1,0,1
7,1,1,0,1,1,8,29,340,297,1,-1,0,1
7,1,1,0,1,0,8,34,-694,62,1,-1,0,1
9,0,1,0,1,0,8,36,160,142,1,-1,0,1
9,1,1,0,1,0,8,57,3284,63,1,-1,0,1
4,2,2,0,1,0,8,47,191,212,1,-1,0,1
9,0,1,0,1,0,8,53,1252,149,1,-1,0,1
1,1,0,0,1,0,8,40,669,161,3,-1,0,1
0,1,1,0,1,0,8,34,2064,165,2,-1,0,1
1,0,0,0,1,0,8,33,-53,369,1,-1,0,1
9,2,1,0,1,1,8,30,-754,974,1,-1,0,1
4,1,1,0,1,0,8,31,89,167,1,-1,0,1
5,1,1,0,1,1,8,54,153,74,1,-1,0,1
0,1,1,0,1,0,8,35,788,223,1,-1,0,1
10,2,1,0,1,0,8,35,947,140,2,-1,0,1
1,1,1,0,0,0,8,32,358,396,1,-1,0,1
9,2,1,0,1,0,8,29,1395,61,1,-1,0,1
1,1,1,0,1,0,8,34,-563,252,1,-1,0,1
10,2,2,0,1,1,8,39,97,379,1,-1,0,1
1,1,1,1,1,1,8,41,-651,374,1,-1,0,1
5,2,1,0,1,1,8,36,101,314,1,-1,0,1
0,1,1,0,1,0,8,29,494,341,2,-1,0,1
5,1,1,0,0,0,8,44,902,206,1,-1,0,1
9,1,2,0,1,0,8,43,527,166,12,-1,0,1
7,2,1,0,1,0,8,38,322,61,1,-1,0,1
4,1,2,0,1,0,8,39,-606,142,1,-1,0,1
0,2,1,0,1,0,8,31,747,543,2,-1,0,2
1,1,1,0,1,1,8,54,682,133,1,-1,0,1
9,0,1,0,0,0,8,32,18,52,1,-1,0,1
5,1,1,0,1,0,8,58,0,77,1,-1,0,1
1,2,0,0,1,0,8,32,405,200,1,-1,0,1
0,1,1,0,1,1,8,31,298,518,1,-1,0,1
7,2,2,0,1,0,8,33,1595,296,1,-1,0,1
4,2,2,0,1,0,8,28,1107,144,1,-1,0,1
4,2,2,0,1,0,8,31,682,473,5,-1,0,1
9,1,1,0,1,1,8,34,-287,199,1,-1,0,1
4,1,2,0,1,0,8,31,2229,90,4,-1,0,1
4,2,2,0,1,0,8,28,7544,470,1,-1,0,1
7,1,1,0,1,1,8,37,3429,81,8,-1,0,1
1,2,1,0,1,1,8,32,-204,202,2,-1,0,1
1,1,0,0,1,1,8,50,14,68,1,-1,0,1
1,1,1,0,1,0,8,45,61,745,4,-1,0,2
0,1,1,0,1,0,8,34,635,247,1,-1,0,1
10,1,0,0,1,0,8,56,0,250,1,-1,0,1
1,1,1,0,1,0,8,26,245,16,11,-1,0,1
10,1,1,0,1,0,8,37,-476,149,2,-1,0,1
4,2,1,0,1,0,8,33,-424,863,1,-1,0,1
9,1,1,0,1,1,8,47,-545,140,5,-1,0,1
4,1,2,0,1,0,8,33,9725,131,4,-1,0,1
9,2,1,0,0,0,8,27,162,265,9,-1,0,1
1,2,0,0,1,0,8,34,-175,40,1,-1,0,1
7,1,1,0,1,0,8,44,-75,104,1,-1,0,1
9,0,1,0,1,0,8,37,695,80,2,-1,0,1
1,1,0,0,1,0,8,45,18,90,2,-1,0,1
1,1,1,0,1,0,8,55,-473,233,1,-1,0,1
6,2,1,0,1,0,8,31,360,592,4,-1,0,1
1,1,0,0,1,0,8,34,-367,85,1,-1,0,1
9,0,1,0,1,0,8,58,0,273,2,-1,0,1
9,1,1,0,1,0,8,39,-72,207,2,-1,0,1
1,1,1,0,1,0,8,31,-110,440,1,-1,0,1
